,precision,recall,f1-score,support
Class 0,0.9483282674772037,0.968944099378882,0.9585253456221198,644.0
Class 1,0.9631728045325779,0.9742120343839542,0.9686609686609686,698.0
Class 2,0.9877488514548239,0.9240687679083095,0.9548482605477424,698.0
Class 3,0.9491017964071856,0.9829457364341085,0.9657273419649657,645.0
accuracy,0.9620111731843576,0.9620111731843576,0.9620111731843576,0.9620111731843576
macro avg,0.9620879299679478,0.9625426595263136,0.9619404791989492,2685.0
weighted avg,0.9626209976972665,0.9620111731843576,0.9619344134583717,2685.0
